Date,V122533
2024-02, 4.79
2024-01, 4.83
2023-12, 4.58
2023-11, 4.78
2023-10, 5.12
2023-09, 5.26
2023-08, 5.14
2023-07, 5.17
2023-06, 5.01
2023-05, 4.71
2023-04, 4.40
2023-03, 4.30
2023-02, 4.64
2023-01, 4.37
2022-12, 4.51
2022-11, 4.38
2022-10, 4.20
2022-09, 3.98
2022-08, 3.74
2022-07, 3.24
2022-06, 3.10
2022-05, 2.36
2022-04, 2.28
2022-03, 1.96
2022-02, 1.28
2022-01, 0.97
2021-12, 0.75
2021-11, 0.75
2021-10, 0.71
2021-09, 0.29
2021-08, 0.27
2021-07, 0.28
2021-06, 0.23
2021-05, 0.20
2021-04, 0.20
2021-03, 0.16
2021-02, 0.14
2021-01, 0.12
2020-12, 0.15
2020-11, 0.19
2020-10, 0.17
2020-09, 0.21
2020-08, 0.22
2020-07, 0.23
2020-06, 0.28
2020-05, 0.29
2020-04, 0.32
2020-03, 0.44
2020-02, 1.51
2020-01, 1.62
2019-12, 1.75
2019-11, 1.71
2019-10, 1.73
2019-09, 1.70
2019-08, 1.52
2019-07, 1.69
2019-06, 1.68
2019-05, 1.70
2019-04, 1.67
2019-03, 1.62
